source,target,from_currency,to_currency,rate_date,rate,TYPE,target_ref_id
Bloomberg,I2OC,PLN,USD,2023-08-20T00:00:00.000Z,0.2437,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-20T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-20T00:00:00.000Z,0.7377,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-20T00:00:00.000Z,0.028277,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-20T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-20T00:00:00.000Z,0.556,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-20T00:00:00.000Z,10.6334,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-20T00:00:00.000Z,0.2014,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-20T00:00:00.000Z,0.13734,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-20T00:00:00.000Z,0.04529,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-20T00:00:00.000Z,0.00285,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-20T00:00:00.000Z,0.012033,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-20T00:00:00.000Z,0.00338,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-19T00:00:00.000Z,0.2437,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-19T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-19T00:00:00.000Z,0.7377,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-19T00:00:00.000Z,0.028277,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-19T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-19T00:00:00.000Z,0.556,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-19T00:00:00.000Z,10.6334,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-19T00:00:00.000Z,0.2014,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-19T00:00:00.000Z,0.13734,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-19T00:00:00.000Z,0.04529,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-19T00:00:00.000Z,0.00285,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-19T00:00:00.000Z,0.012033,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-19T00:00:00.000Z,0.00338,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-18T00:00:00.000Z,0.2437,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-18T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-18T00:00:00.000Z,0.7377,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-18T00:00:00.000Z,0.028277,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-18T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-18T00:00:00.000Z,0.556,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-18T00:00:00.000Z,10.6334,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-18T00:00:00.000Z,0.2014,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-18T00:00:00.000Z,0.13734,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-18T00:00:00.000Z,0.04529,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-18T00:00:00.000Z,0.00285,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-18T00:00:00.000Z,0.012033,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-18T00:00:00.000Z,0.0033801,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-17T00:00:00.000Z,0.5559,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-17T00:00:00.000Z,10.574,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-17T00:00:00.000Z,0.2005,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-17T00:00:00.000Z,0.13715,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-17T00:00:00.000Z,0.045159,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-17T00:00:00.000Z,0.00283,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-17T00:00:00.000Z,0.012037,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-17T00:00:00.000Z,0.0033885,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-17T00:00:00.000Z,0.2432,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-17T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-17T00:00:00.000Z,0.7358,FIX,F120
